X,Y,G
106.1083,-6.1464,74.90
106.1250,-6.1464,71.60
106.1417,-6.1464,68.60
106.1583,-6.1464,66.10
106.1750,-6.1464,64.20
106.1917,-6.1464,62.90
106.2083,-6.1464,62.20
106.2250,-6.1464,62.10
106.2417,-6.1464,62.30
106.2583,-6.1464,62.80
106.2750,-6.1464,63.50
106.2917,-6.1464,64.20
106.3083,-6.1464,64.80
106.3250,-6.1464,65.30
106.3417,-6.1464,65.70
106.3583,-6.1464,65.90
106.3750,-6.1464,66.00
106.3917,-6.1464,65.90
106.4083,-6.1464,65.70
106.4250,-6.1464,65.20
106.4417,-6.1464,64.40
106.4583,-6.1464,63.50
106.4750,-6.1464,62.30
106.4917,-6.1464,61.00
106.5083,-6.1464,59.60
106.5250,-6.1464,58.20
106.5417,-6.1464,56.80
106.5583,-6.1464,55.60
106.5750,-6.1464,54.40
106.5917,-6.1464,53.40
106.6083,-6.1464,52.50
106.6250,-6.1464,51.80
106.6417,-6.1464,51.00
106.6583,-6.1464,50.20
106.6750,-6.1464,49.50
106.6917,-6.1464,48.80
106.7083,-6.1464,48.30
106.7250,-6.1464,48.00
106.7417,-6.1464,48.10
106.7583,-6.1464,48.60
106.7750,-6.1464,49.30
106.7917,-6.1464,50.30
106.8083,-6.1464,51.30
106.8250,-6.1464,52.10
106.8417,-6.1464,52.60
106.8583,-6.1464,52.70
106.8750,-6.1464,52.30
106.8917,-6.1464,51.50
106.9083,-6.1464,50.40
106.9250,-6.1464,49.00
106.9417,-6.1464,47.40
106.9583,-6.1464,45.60
106.9750,-6.1464,43.60
106.9917,-6.1464,41.50
107.0083,-6.1464,39.40
106.0083,-6.1630,90.20
106.0250,-6.1630,89.80
106.0417,-6.1630,88.60
106.0583,-6.1630,86.60
106.0750,-6.1630,83.80
106.0917,-6.1630,80.40
106.1083,-6.1630,76.70
106.1250,-6.1630,72.90
106.1417,-6.1630,69.30
106.1583,-6.1630,66.20
106.1750,-6.1630,63.80
106.1917,-6.1630,62.10
106.2083,-6.1630,61.10
106.2250,-6.1630,60.90
106.2417,-6.1630,61.10
106.2583,-6.1630,61.70
106.2750,-6.1630,62.40
106.2917,-6.1630,63.10
106.3083,-6.1630,63.70
106.3250,-6.1630,64.10
106.3417,-6.1630,64.30
106.3583,-6.1630,64.40
106.3750,-6.1630,64.50
106.3917,-6.1630,64.50
106.4083,-6.1630,64.40
106.4250,-6.1630,64.20
106.4417,-6.1630,63.80
106.4583,-6.1630,63.30
106.4750,-6.1630,62.60
106.4917,-6.1630,61.60
106.5083,-6.1630,60.40
106.5250,-6.1630,59.00
106.5417,-6.1630,57.60
106.5583,-6.1630,56.30
106.5750,-6.1630,54.90
106.5917,-6.1630,53.70
106.6083,-6.1630,52.50
106.6250,-6.1630,51.50
106.6417,-6.1630,50.50
106.6583,-6.1630,49.70
106.6750,-6.1630,49.10
106.6917,-6.1630,48.60
106.7083,-6.1630,48.30
106.7250,-6.1630,48.30
106.7417,-6.1630,48.70
106.7583,-6.1630,49.30
106.7750,-6.1630,50.20
106.7917,-6.1630,51.10
106.8083,-6.1630,52.00
106.8250,-6.1630,52.60
106.8417,-6.1630,52.80
106.8583,-6.1630,52.60
106.8750,-6.1630,52.00
106.8917,-6.1630,51.00
106.9083,-6.1630,49.70
106.9250,-6.1630,48.20
106.9417,-6.1630,46.60
106.9583,-6.1630,44.80
106.9750,-6.1630,42.90
106.9917,-6.1630,40.90
107.0083,-6.1630,38.90
106.0083,-6.1796,92.50
106.0250,-6.1796,92.70
106.0417,-6.1796,91.90
106.0583,-6.1796,90.10
106.0750,-6.1796,87.30
106.0917,-6.1796,83.70
106.1083,-6.1796,79.60
106.1250,-6.1796,75.20
106.1417,-6.1796,70.80
106.1583,-6.1796,67.00
106.1750,-6.1796,63.90
106.1917,-6.1796,61.70
106.2083,-6.1796,60.40
106.2250,-6.1796,60.00
106.2417,-6.1796,60.20
106.2583,-6.1796,60.70
106.2750,-6.1796,61.40
106.2917,-6.1796,62.10
106.3083,-6.1796,62.60
106.3250,-6.1796,62.90
106.3417,-6.1796,63.10
106.3583,-6.1796,63.10
106.3750,-6.1796,63.20
106.3917,-6.1796,63.30
106.4083,-6.1796,63.40
106.4250,-6.1796,63.50
106.4417,-6.1796,63.40
106.4583,-6.1796,63.20
106.4750,-6.1796,62.80
106.4917,-6.1796,62.00
106.5083,-6.1796,60.90
106.5250,-6.1796,59.60
106.5417,-6.1796,58.00
106.5583,-6.1796,56.40
106.5750,-6.1796,54.80
106.5917,-6.1796,53.20
106.6083,-6.1796,51.80
106.6250,-6.1796,50.60
106.6417,-6.1796,49.60
106.6583,-6.1796,48.80
106.6750,-6.1796,48.20
106.6917,-6.1796,48.00
106.7083,-6.1796,48.00
106.7250,-6.1796,48.30
106.7417,-6.1796,49.00
106.7583,-6.1796,49.80
106.7750,-6.1796,50.80
106.7917,-6.1796,51.70
106.8083,-6.1796,52.40
106.8250,-6.1796,52.80
106.8417,-6.1796,52.80
106.8583,-6.1796,52.30
106.8750,-6.1796,51.50
106.8917,-6.1796,50.40
106.9083,-6.1796,49.10
106.9250,-6.1796,47.60
106.9417,-6.1796,46.10
106.9583,-6.1796,44.40
106.9750,-6.1796,42.70
106.9917,-6.1796,40.90
107.0083,-6.1796,39.10
106.0083,-6.1961,97.70
106.0250,-6.1961,98.10
106.0417,-6.1961,97.50
106.0583,-6.1961,95.70
106.0750,-6.1961,92.60
106.0917,-6.1961,88.60
106.1083,-6.1961,83.70
106.1250,-6.1961,78.50
106.1417,-6.1961,73.30
106.1583,-6.1961,68.60
106.1750,-6.1961,64.80
106.1917,-6.1961,62.00
106.2083,-6.1961,60.20
106.2250,-6.1961,59.50
106.2417,-6.1961,59.50
106.2583,-6.1961,60.00
106.2750,-6.1961,60.70
106.2917,-6.1961,61.30
106.3083,-6.1961,61.80
106.3250,-6.1961,62.00
106.3417,-6.1961,62.10
106.3583,-6.1961,62.20
106.3750,-6.1961,62.30
106.3917,-6.1961,62.40
106.4083,-6.1961,62.70
106.4250,-6.1961,63.00
106.4417,-6.1961,63.30
106.4583,-6.1961,63.30
106.4750,-6.1961,63.00
106.4917,-6.1961,62.30
106.5083,-6.1961,61.20
106.5250,-6.1961,59.70
106.5417,-6.1961,57.90
106.5583,-6.1961,56.10
106.5750,-6.1961,54.20
106.5917,-6.1961,52.40
106.6083,-6.1961,50.80
106.6250,-6.1961,49.50
106.6417,-6.1961,48.40
106.6583,-6.1961,47.70
106.6750,-6.1961,47.20
106.6917,-6.1961,47.20
106.7083,-6.1961,47.40
106.7250,-6.1961,48.00
106.7417,-6.1961,48.80
106.7583,-6.1961,49.70
106.7750,-6.1961,50.70
106.7917,-6.1961,51.50
106.8083,-6.1961,52.00
106.8250,-6.1961,52.20
106.8417,-6.1961,52.00
106.8583,-6.1961,51.40
106.8750,-6.1961,50.60
106.8917,-6.1961,49.50
106.9083,-6.1961,48.20
106.9250,-6.1961,47.00
106.9417,-6.1961,45.70
106.9583,-6.1961,44.40
106.9750,-6.1961,42.90
106.9917,-6.1961,41.40
107.0083,-6.1961,39.70
106.0083,-6.2127,105.30
106.0250,-6.2127,105.90
106.0417,-6.2127,105.10
106.0583,-6.2127,103.00
106.0750,-6.2127,99.40
106.0917,-6.2127,94.60
106.1083,-6.2127,88.90
106.1250,-6.2127,82.70
106.1417,-6.2127,76.50
106.1583,-6.2127,71.00
106.1750,-6.2127,66.30
106.1917,-6.2127,62.80
106.2083,-6.2127,60.60
106.2250,-6.2127,59.50
106.2417,-6.2127,59.30
106.2583,-6.2127,59.60
106.2750,-6.2127,60.20
106.2917,-6.2127,60.80
106.3083,-6.2127,61.20
106.3250,-6.2127,61.40
106.3417,-6.2127,61.50
106.3583,-6.2127,61.60
106.3750,-6.2127,61.80
106.3917,-6.2127,62.10
106.4083,-6.2127,62.50
106.4250,-6.2127,63.00
106.4417,-6.2127,63.40
106.4583,-6.2127,63.50
106.4750,-6.2127,63.20
106.4917,-6.2127,62.50
106.5083,-6.2127,61.30
106.5250,-6.2127,59.60
106.5417,-6.2127,57.60
106.5583,-6.2127,55.50
106.5750,-6.2127,53.40
106.5917,-6.2127,51.50
106.6083,-6.2127,49.80
106.6250,-6.2127,48.40
106.6417,-6.2127,47.40
106.6583,-6.2127,46.70
106.6750,-6.2127,46.50
106.6917,-6.2127,46.60
106.7083,-6.2127,46.90
106.7250,-6.2127,47.60
106.7417,-6.2127,48.40
106.7583,-6.2127,49.30
106.7750,-6.2127,50.20
106.7917,-6.2127,50.80
106.8083,-6.2127,51.20
106.8250,-6.2127,51.20
106.8417,-6.2127,50.80
106.8583,-6.2127,50.20
106.8750,-6.2127,49.30
106.8917,-6.2127,48.40
106.9083,-6.2127,47.30
106.9250,-6.2127,46.30
106.9417,-6.2127,45.40
106.9583,-6.2127,44.30
106.9750,-6.2127,43.20
106.9917,-6.2127,41.90
107.0083,-6.2127,40.40
106.0083,-6.2293,114.60
106.0250,-6.2293,115.00
106.0417,-6.2293,113.90
106.0583,-6.2293,111.10
106.0750,-6.2293,106.80
106.0917,-6.2293,101.10
106.1083,-6.2293,94.40
106.1250,-6.2293,87.20
106.1417,-6.2293,80.10
106.1583,-6.2293,73.60
106.1750,-6.2293,68.10
106.1917,-6.2293,64.00
106.2083,-6.2293,61.30
106.2250,-6.2293,59.80
106.2417,-6.2293,59.40
106.2583,-6.2293,59.50
106.2750,-6.2293,60.00
106.2917,-6.2293,60.60
106.3083,-6.2293,61.00
106.3250,-6.2293,61.30
106.3417,-6.2293,61.40
106.3583,-6.2293,61.60
106.3750,-6.2293,61.90
106.3917,-6.2293,62.30
106.4083,-6.2293,62.80
106.4250,-6.2293,63.40
106.4417,-6.2293,63.80
106.4583,-6.2293,63.90
106.4750,-6.2293,63.60
106.4917,-6.2293,62.70
106.5083,-6.2293,61.40
106.5250,-6.2293,59.60
106.5417,-6.2293,57.50
106.5583,-6.2293,55.20
106.5750,-6.2293,53.10
106.5917,-6.2293,51.10
106.6083,-6.2293,49.40
106.6250,-6.2293,48.00
106.6417,-6.2293,47.10
106.6583,-6.2293,46.50
106.6750,-6.2293,46.30
106.6917,-6.2293,46.40
